,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
linear_svc_clr_0.1,linear_svc,clr,0.1,57.03765988,0.889281508,0.931684335,0.957597173,0.970553592,0.979976443,0.895170789,0.895170789
linear_svc_clr_1,linear_svc,clr,1,66.76186705,0.889281508,0.928150766,0.952885748,0.963486455,0.97762073,0.886925795,0.886925795
linear_svc_clr_10,linear_svc,clr,10,180.3429201,0.641931684,0.752650177,0.808009423,0.881036514,0.928150766,0.533568905,0.533568905
linear_svc_clr_100,linear_svc,clr,100,217.4501102,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.243816254,0.243816254
linear_svc_clr_1000,linear_svc,clr,1000,219.8267,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.182567727,0.182567727
logistic_regression_binary_0,logistic_regression,binary,0,7.513788939,0.895170789,0.943462898,0.964664311,0.979976443,0.985865724,0.895170789,0.895170789
logistic_regression_binary_1e-10,logistic_regression,binary,1.00E-10,7.456064939,0.897526502,0.94581861,0.96819788,0.979976443,0.985865724,0.897526502,0.897526502
logistic_regression_binary_1e-09,logistic_regression,binary,1.00E-09,8.20258832,0.898704358,0.94581861,0.96819788,0.978798587,0.984687868,0.898704358,0.898704358
logistic_regression_binary_1e-08,logistic_regression,binary,1.00E-08,8.33298111,0.899882214,0.949352179,0.969375736,0.978798587,0.984687868,0.899882214,0.899882214
logistic_regression_binary_1e-07,logistic_regression,binary,1.00E-07,7.92847681,0.899882214,0.949352179,0.96819788,0.979976443,0.985865724,0.899882214,0.899882214
logistic_regression_binary_1e-06,logistic_regression,binary,1.00E-06,8.012742043,0.896348645,0.948174323,0.967020024,0.976442874,0.984687868,0.896348645,0.896348645
logistic_regression_binary_1e-05,logistic_regression,binary,1.00E-05,7.601503849,0.898704358,0.94581861,0.96819788,0.97762073,0.985865724,0.898704358,0.898704358
logistic_regression_binary_0.0001,logistic_regression,binary,0.0001,8.148478985,0.895170789,0.950530035,0.964664311,0.981154299,0.985865724,0.895170789,0.895170789
logistic_regression_binary_0.001,logistic_regression,binary,0.001,8.918731928,0.895170789,0.949352179,0.967020024,0.978798587,0.985865724,0.895170789,0.895170789
logistic_regression_binary_0.01,logistic_regression,binary,0.01,7.324084044,0.892815077,0.943462898,0.964664311,0.97762073,0.985865724,0.892815077,0.892815077
