,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
extra_tree_standard_scalar_1e-07,extra_tree,standard_scalar,1e-07,22.142714977264404,0.8681710213776722,0.9608076009501187,0.9809976247030879,1.0,1.0,0.8681710213776722,0.8681710213776722
extra_tree_standard_scalar_1e-06,extra_tree,standard_scalar,1e-06,22.491606950759888,0.8669833729216152,0.9655581947743468,0.982185273159145,0.998812351543943,1.0,0.8669833729216152,0.8669833729216152
extra_tree_standard_scalar_1e-05,extra_tree,standard_scalar,1e-05,22.52926206588745,0.8729216152019003,0.9667458432304038,0.9809976247030879,0.998812351543943,1.0,0.8729216152019003,0.8729216152019003
extra_tree_standard_scalar_0.0001,extra_tree,standard_scalar,0.0001,22.576770067214966,0.8693586698337292,0.9631828978622328,0.982185273159145,0.998812351543943,1.0,0.8693586698337292,0.8693586698337292
extra_tree_standard_scalar_0.001,extra_tree,standard_scalar,0.001,22.497781991958618,0.8705463182897862,0.9643705463182898,0.982185273159145,1.0,1.0,0.8705463182897862,0.8705463182897862
extra_tree_standard_scalar_0.01,extra_tree,standard_scalar,0.01,22.506683826446533,0.8693586698337292,0.9596199524940617,0.982185273159145,0.997624703087886,1.0,0.8693586698337292,0.8693586698337292
extra_tree_standard_scalar_0.1,extra_tree,standard_scalar,0.1,22.874773025512695,0.8622327790973872,0.9619952494061758,0.9809976247030879,0.997624703087886,1.0,0.8622327790973872,0.8622327790973872
extra_tree_standard_scalar_1,extra_tree,standard_scalar,1.0,29.080378770828247,0.7553444180522565,0.9216152019002375,0.9679334916864608,0.997624703087886,1.0,0.7553444180522565,0.7553444180522565
extra_tree_standard_scalar_10,extra_tree,standard_scalar,10.0,34.12716317176819,0.44061757719714967,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.44061757719714967,0.44061757719714967
extra_tree_standard_scalar_100,extra_tree,standard_scalar,100.0,35.08224391937256,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9631828978622328,1.0,0.3646080760095012,0.3646080760095012
extra_tree_standard_scalar_1000,extra_tree,standard_scalar,1000.0,47.9114990234375,0.31235154394299286,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.31235154394299286,0.31235154394299286
extra_tree_total_sum_0,extra_tree,total_sum,0.0,16.058368921279907,0.8741092636579573,0.9691211401425178,0.982185273159145,1.0,1.0,0.8741092636579573,0.8741092636579573
extra_tree_total_sum_1e-10,extra_tree,total_sum,1e-10,17.710312128067017,0.8741092636579573,0.9691211401425178,0.9833729216152018,0.998812351543943,1.0,0.8741092636579573,0.8741092636579573
extra_tree_total_sum_1e-09,extra_tree,total_sum,1e-09,17.71611213684082,0.8776722090261283,0.9691211401425178,0.9833729216152018,1.0,1.0,0.8776722090261283,0.8776722090261283
extra_tree_total_sum_1e-08,extra_tree,total_sum,1e-08,17.701313972473145,0.8693586698337292,0.9691211401425178,0.9833729216152018,0.998812351543943,1.0,0.8693586698337292,0.8693586698337292
extra_tree_total_sum_1e-07,extra_tree,total_sum,1e-07,22.01233720779419,0.8539192399049881,0.9596199524940617,0.9798099762470309,0.998812351543943,1.0,0.8539192399049881,0.8539192399049881
extra_tree_total_sum_1e-06,extra_tree,total_sum,1e-06,22.14625597000122,0.8539192399049881,0.9548693586698337,0.9809976247030879,0.998812351543943,1.0,0.8539192399049881,0.8539192399049881
extra_tree_total_sum_1e-05,extra_tree,total_sum,1e-05,22.306952953338623,0.8562945368171021,0.9560570071258907,0.9798099762470309,0.998812351543943,1.0,0.8562945368171021,0.8562945368171021
extra_tree_total_sum_0.0001,extra_tree,total_sum,0.0001,24.112329959869385,0.838479809976247,0.9453681710213777,0.9798099762470309,0.997624703087886,1.0,0.838479809976247,0.838479809976247
extra_tree_total_sum_0.001,extra_tree,total_sum,0.001,32.6227650642395,0.5332541567695962,0.7612826603325415,0.8824228028503563,0.9762470308788599,1.0,0.5332541567695962,0.5332541567695962
extra_tree_total_sum_0.01,extra_tree,total_sum,0.01,35.45074915885925,0.3479809976247031,0.6769596199524941,0.8634204275534442,0.9655581947743468,1.0,0.3479809976247031,0.3479809976247031
extra_tree_total_sum_0.1,extra_tree,total_sum,0.1,35.10093808174133,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.3646080760095012,0.3646080760095012
extra_tree_total_sum_1,extra_tree,total_sum,1.0,35.317878007888794,0.31235154394299286,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.31235154394299286,0.31235154394299286
extra_tree_total_sum_10,extra_tree,total_sum,10.0,35.18216395378113,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.3646080760095012,0.3646080760095012
extra_tree_total_sum_100,extra_tree,total_sum,100.0,35.237921953201294,0.3646080760095012,0.6769596199524941,0.8634204275534442,0.9631828978622328,1.0,0.3646080760095012,0.3646080760095012
extra_tree_total_sum_1000,extra_tree,total_sum,1000.0,35.193782806396484,0.31235154394299286,0.6769596199524941,0.8634204275534442,0.9619952494061758,1.0,0.31235154394299286,0.31235154394299286
gaussianNB_binary_0,gaussianNB,binary,0.0,0.0837247371673584,0.4809976247030879,0.5593824228028503,0.6104513064133017,0.8836104513064132,1.0,0.4809976247030879,0.4809976247030879
gaussianNB_binary_1e-10,gaussianNB,binary,1e-10,0.07695317268371582,0.4809976247030879,0.5593824228028503,0.6104513064133017,0.8836104513064132,1.0,0.4809976247030879,0.4809976247030879
